 ,LAST NAME,FIRST NAME,EMAIL,ZIPCODE,CITY,STATE,ADDRESS,PHONE,DISTRICT
1,Panek,Michael,dntisler@jumpstartlab.com,84105,SALT LAKE CITY,UT,1434 WILSON AVE.,(801) 362-6000,not pulled
2,Cebulski,Kate,orazrya1@jumpstartlab.com,84102,SALT LAKE CITY,UT,1033 BARBARA PL APT 2,(801) 550-5000,not pulled
3,Engel,Megan,bgc64@jumpstartlab.com,84102,SALT LAKE CITY,UT,219 ELIZABETH ST.,(801) 550-5000,not pulled
4,Gilbert,Kristen,tpollins6@jumpstartlab.com,84121,SALT LAKE CITY,UT,1343 ASHWOOD CIRCLE,(801) 550-5000,not pulled
5,Myett,Student,wjang@jumpstartlab.com,84106,SALT LAKE CITY,UT,834 E. POND VIEW WAY,(801) 550-5000,not pulled
6,Xx,Adrienne,rrthleen.oflaherty@jumpstartlab.com,84121,SALT LAKE CITY,UT,1213 MEDICAL PLAZA,(801) 550-5000,not pulled
7,Ludmer,Eileen,mhulger@jumpstartlab.com,84103,SALT LAKE CITY,UT,723 11TH AVENUE,(801) 550-5000,not pulled
8,Boozel,Alex,jyhiang@jumpstartlab.com,84103,SALT LAKE CITY,UT,220 A STREET,(801) 550-5000,not pulled
9,Berkley,Susan,ceebst.4@jumpstartlab.com,84102,SALT LAKE CITY,UT,1033 BARBARA PL,(801) 550-5000,not pulled
10,Kopkin,Emma,sxcoffey@jumpstartlab.com,84102,SALT LAKE CITY,UT,1033 BARBARA PL,(801) 550-5000,not pulled
11,Armacost,Kate,hgle.saud@jumpstartlab.com,84102,SALT LAKE CITY,UT,1033 BARBARA PL,(801) 550-5000,not pulled
12,Woolworth,Lindsey,eoeal@jumpstartlab.com,84111,SALT LAKE CITY,UT,350 SOUTH 200 EAST #406,(801) 359-4000,not pulled
13,Wynn,Rich,vkrenzo.serna@jumpstartlab.com,84109,SALT LAKE CITY,UT,2887 WAINWRIGHT ROAD,(801) 550-5000,not pulled
